ID	Length	SRX9120574
ENSG00000257303	5999	418.0
ENSG00000125775	5499	111.0
ENSG00000272367	13499	176.5
ENSG00000142765	13999	467.0
ENSG00000105982	7499	2212.5
ENSG00000138600	5499	411.5
ENSG00000100196	9499	7190.5
ENSG00000160208	4499	312.0
ENSG00000212327	8999	182.5
ENSG00000261757	6999	93.0
ENSG00000262136	7499	585.0
ENSG00000130724	7499	9148.0
ENSG00000183060	3999	564.0
ENSG00000143457	4499	81.0
ENSG00000167900	4999	2462.5
ENSG00000197958	4499	200.0
ENSG00000125814	5499	471.5
ENSG00000240889	4499	165.5
ENSG00000132612	11499	2857.0
ENSG00000138107	6499	486.0
ENSG00000123080	6999	236.0
ENSG00000163481	3999	944.0
ENSG00000141759	8999	724.5
ENSG00000180979	7999	187.0
ENSG00000113522	6499	285.5
ENSG00000234093	4499	1422.0
ENSG00000160781	9499	388.5
ENSG00000260814	5499	996.5
ENSG00000237015	5499	304.5
ENSG00000196110	3999	84.5
ENSG00000262049	9999	745.0
ENSG00000075886	8999	266.0
ENSG00000123600	5499	45.0
ENSG00000172638	3999	134.5
ENSG00000196357	7499	70.0
ENSG00000105135	7499	1255.5
ENSG00000258952	7499	1433.5
ENSG00000229043	4999	70.0
ENSG00000224799	4499	114.0
ENSG00000026036	8499	1816.0
ENSG00000269054	3999	53.5
ENSG00000160193	6499	141.0
ENSG00000136436	8999	191.5
ENSG00000141027	10999	1479.0
ENSG00000269987	7999	4389.0
ENSG00000100711	3999	434.5
ENSG00000267200	4499	28.5
ENSG00000126822	3999	41.0
ENSG00000225610	5499	186.0
ENSG00000224138	23999	1291.0
ENSG00000167778	6999	511.5
ENSG00000110711	3999	317.5
ENSG00000177946	8499	973.5
ENSG00000186063	7499	1014.5
ENSG00000242748	8499	802.5
ENSG00000264044	4499	666.5
ENSG00000101294	4999	471.5
ENSG00000180376	3999	959.0
ENSG00000249042	8999	1039.5
ENSG00000114021	12999	2274.0
ENSG00000205664	5999	69.0
ENSG00000216921	6499	143.5
ENSG00000113318	10499	340.5
ENSG00000149657	7999	1431.5
ENSG00000197362	5499	73.0
ENSG00000188807	6999	214.0
ENSG00000140534	5999	95.5
ENSG00000165699	4499	207.5
ENSG00000250261	15999	1017.5
ENSG00000227799	5499	47.5
ENSG00000140807	8999	158.5
ENSG00000130741	4999	2381.0
ENSG00000135540	13499	603.5
ENSG00000116459	6499	95.0
ENSG00000270084	3999	3319.0
ENSG00000123353	3999	223.5
ENSG00000048405	4499	72.0
ENSG00000100276	6499	788.5
ENSG00000259460	5499	141.5
ENSG00000257410	8999	1295.0
ENSG00000114841	8499	2204.5
ENSG00000254907	5999	128.0
ENSG00000196152	5999	987.0
ENSG00000139190	4499	138.5
ENSG00000239486	3999	35.0
ENSG00000119986	4499	1182.5
ENSG00000230739	6999	1644.5
ENSG00000124243	5999	236.0
ENSG00000261408	5999	1806.5
ENSG00000148291	4999	10222.0
ENSG00000228277	6999	57.5
ENSG00000119403	12499	1311.0
ENSG00000164306	7499	508.5
ENSG00000106268	4499	964.5
ENSG00000266852	8499	352.5
ENSG00000125885	5999	411.0
ENSG00000178531	3999	1337.0
ENSG00000176890	13999	1516.0
ENSG00000136122	6999	799.0
ENSG00000119326	4499	657.0
ENSG00000090581	6499	545.0
ENSG00000099203	4999	1723.0
ENSG00000164733	4999	1151.0
ENSG00000254741	16999	1588.5
ENSG00000212864	14499	1438.5
ENSG00000145386	7999	629.0
ENSG00000204308	7999	1228.5
ENSG00000119616	3999	238.5
ENSG00000177374	5499	620.0
ENSG00000167094	4499	271.0
ENSG00000088808	7499	511.5
ENSG00000254198	4999	309.5
ENSG00000087274	4499	928.0
ENSG00000248409	9499	501.5
ENSG00000185722	7499	268.5
ENSG00000197102	5999	403.5
ENSG00000167513	9999	1641.5
ENSG00000177105	3999	425.0
ENSG00000126261	10499	642.5
ENSG00000123146	10499	1415.5
ENSG00000160229	7499	146.5
ENSG00000188107	9499	1971.0
ENSG00000175305	5999	69.0
ENSG00000248256	3999	138.5
ENSG00000165828	4499	76.5
ENSG00000138031	4999	370.5
ENSG00000267002	4999	125.5
ENSG00000114859	5999	441.0
ENSG00000145919	4499	654.5
ENSG00000055332	4499	610.5
ENSG00000266509	4499	42.5
ENSG00000125966	4499	1935.0
ENSG00000063438	4499	247.0
ENSG00000149927	8999	609.5
ENSG00000269194	3999	119.5
ENSG00000108963	6499	353.5
ENSG00000163935	4999	260.0
ENSG00000224930	4999	589.0
ENSG00000004487	5999	1093.5
ENSG00000185825	10999	3398.5
ENSG00000187045	5499	295.0
ENSG00000198205	4499	50.0
ENSG00000159792	8499	332.0
ENSG00000256928	4499	174.0
ENSG00000207636	7499	103.0
ENSG00000137309	3999	2904.0
ENSG00000249971	8499	1315.5
ENSG00000104442	3999	187.5
ENSG00000067704	4999	2150.5
ENSG00000187848	4499	938.5
ENSG00000165388	9499	145.5
ENSG00000228492	3999	28.0
ENSG00000169814	8999	210.0
ENSG00000250312	3999	60.5
ENSG00000137692	10999	156.0
ENSG00000136279	9999	250.0
ENSG00000258714	5999	518.5
ENSG00000117505	15999	184.5
ENSG00000196584	5499	314.5
ENSG00000257267	8999	129.0
